text,Loaded Language,Name calling/Labeling,Smears,Appeal to fear/prejudice,Black-and-white Fallacy/Dictatorship,Exaggeration/Minimisation,Slogans,Misrepresentation of Someone's Position (Straw Man),"Obfuscation, Intentional vagueness, Confusion",Presenting Irrelevant Data (Red Herring),Whataboutism,Causal Oversimplification,Appeal to authority,Flag-waving,Doubt,Thought-terminating cliché,Bandwagon,Reductio ad hitlerum,Repetition,Glittering generalities (Virtue)
"THERE ARE ONLY TWO GENDERS

FEMALE 

MALE
",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This is not an accident!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SO BERNIE BROS HAVEN'T COMMITTED VIOLENCE EH?

POWER COMES FROM THE BARREL OF A GUN, COMRADES.

WHAT ABOUT THE ONE WHO SHOT CONGRESSMAN SCALISE OR THE DAYTON OHIO MASS SHOOTER?
",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHETIC

The Cowardly Asshole
Weak Failure!!!

Impeach it again!!!

# 45 the coward s afraid of strong women!!

POLITICUSUSA.COM
Childish Trump Won't Meet With Pelosi On Coronavirus
Because He Doesn't Like Her
",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WHO TRUMP REPRESENTS

WHO DEMOCRATS REPRESENT
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Our elders were called to war to save lives.
We are being called to sit on the couch to save theirs.
We can do this.
",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adolf Hitler
• Believed state power would fix Germany
• Proposed gun control
• Promised a political revolution
• Called himself socialist
• Blamed Jews for Germany's problems
• Wanted a heavily regulated economy

Bernie Sanders
• Believes state power will fix America
• Proposes gun control
• Promises a political revolution
• Calls himself socialist
• Blames the rich for America's problems
• Wants a heavily regulated economy",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"CALM DOWN LITTLE TRUMP HATER
I FOUND YOUR BINKY
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UGLY INSIDE & OUT

RACIST, LIAR with NO ETHICS, and he's NUTS

Dangerously STUPID and Certifiably CRAZY

UGLY INSIDE & OUT",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"WHEN YOUR TAXES ARE FINALLY USED TO KILL TERRORISTS...

INSTEAD OF FUNDING THEM!
TRUMP 2020
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
